epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8852,1.763,2.34205,1.37801,1,0.27961,0.44825,0.31056,1.48462,3.00056,1.67769,0.000543319,0.000543319,0.000543319
2,70.6978,1.46516,1.32635,1.19948,0.91876,0.37909,0.45745,0.30986,1.63775,2.80952,1.77257,0.00108811,0.00108811,0.00108811
3,101.639,1.39191,1.23195,1.17513,0.64095,0.47939,0.58983,0.34361,1.68977,2.30688,1.70495,0.00162189,0.00162189,0.00162189
4,133.086,1.35419,1.14612,1.16165,0.71987,0.57534,0.60551,0.35686,1.5407,1.67423,1.74168,0.00161749,0.00161749,0.00161749
5,164.264,1.3347,1.07921,1.16759,0.43377,0.38531,0.48248,0.28449,2.14134,2.32997,2.09289,0.00160099,0.00160099,0.00160099
6,194.954,1.28189,1.01646,1.13051,0.79755,0.69639,0.75186,0.42526,1.50253,1.56386,1.60447,0.00158448,0.00158448,0.00158448
7,225.635,1.26088,0.94998,1.10178,0.64884,0.68169,0.67287,0.43,1.43099,1.4246,1.65692,0.00156798,0.00156798,0.00156798
8,256.341,1.20211,0.93933,1.09834,0.74481,0.69782,0.71178,0.39495,1.58176,1.41569,1.76981,0.00155148,0.00155148,0.00155148
9,287.009,1.26916,0.96174,1.12592,0.50707,0.39751,0.46423,0.21995,1.80897,2.07662,1.84753,0.00153497,0.00153497,0.00153497
10,317.065,1.17624,0.88316,1.09257,0.79438,0.55938,0.65613,0.35342,1.29407,1.49493,1.57388,0.00151847,0.00151847,0.00151847
11,348.065,1.16642,0.85804,1.0987,0.8108,0.69558,0.73715,0.4049,1.45165,1.44918,1.61914,0.00150197,0.00150197,0.00150197
12,385.088,1.18235,0.86417,1.09686,0.68369,0.66698,0.64025,0.37871,1.40811,1.36449,1.66442,0.00148546,0.00148546,0.00148546
13,418.459,1.14953,0.82221,1.07535,0.71366,0.71395,0.71418,0.42155,1.26642,1.13483,1.60234,0.00146896,0.00146896,0.00146896
14,448.861,1.15365,0.81815,1.08346,0.75261,0.71252,0.7681,0.48333,1.32174,1.09862,1.56499,0.00145246,0.00145246,0.00145246
15,479.349,1.13553,0.78136,1.06339,0.64879,0.66414,0.73873,0.4314,1.26723,1.20471,1.60539,0.00143595,0.00143595,0.00143595
16,510.022,1.1072,0.76805,1.05557,0.807,0.63899,0.67524,0.3617,1.43651,1.24599,1.69627,0.00141945,0.00141945,0.00141945
17,540.227,1.08031,0.73934,1.03464,0.74913,0.48197,0.56201,0.30701,1.59561,1.60433,1.80283,0.00140295,0.00140295,0.00140295
18,570.364,1.08661,0.72849,1.02646,0.81656,0.55835,0.61037,0.38125,1.39523,1.36504,1.7021,0.00138644,0.00138644,0.00138644
19,600.526,1.08615,0.71012,1.02454,0.90177,0.70083,0.74843,0.44505,1.20151,1.04659,1.52247,0.00136994,0.00136994,0.00136994
20,631.068,1.10145,0.71119,1.02997,0.86953,0.66328,0.74179,0.42412,1.32015,1.09178,1.61984,0.00135344,0.00135344,0.00135344
21,661.728,1.06654,0.71676,1.03888,0.87341,0.66352,0.74001,0.406,1.45725,1.10767,1.67466,0.00133693,0.00133693,0.00133693
22,691.898,1.08181,0.70239,1.0333,0.8716,0.65085,0.70468,0.42971,1.20481,0.97482,1.58814,0.00132043,0.00132043,0.00132043
23,722.451,1.07704,0.70229,1.04801,0.5535,0.50712,0.48604,0.31107,1.76441,1.14383,1.98386,0.00130393,0.00130393,0.00130393
24,753.467,1.05516,0.69319,1.04173,0.64205,0.5303,0.51526,0.35091,1.54093,1.09843,1.86491,0.00128742,0.00128742,0.00128742
25,784.135,1.05561,0.7005,1.03192,0.702,0.52434,0.55941,0.30661,1.56269,1.39862,1.78548,0.00127092,0.00127092,0.00127092
26,814.74,1.05627,0.67591,1.0435,0.6932,0.49838,0.59316,0.37435,1.36424,1.18382,1.75905,0.00125442,0.00125442,0.00125442
27,845.123,1.03474,0.66908,1.02131,0.9641,0.64807,0.742,0.44887,1.16055,1.04714,1.54097,0.00123791,0.00123791,0.00123791
28,876.256,1.01618,0.65393,1.00999,0.95418,0.63316,0.72406,0.39924,1.42773,1.11774,1.67429,0.00122141,0.00122141,0.00122141
29,906.976,1.00072,0.64813,1.0082,0.78161,0.45118,0.55148,0.3312,1.30891,1.31997,1.66291,0.00120491,0.00120491,0.00120491
