asset_id,category,folder_path,mesh_file,preview_file,real_width_m,real_height_m,real_depth_m,format,mesh_up_axis,mesh_units,license,source_url,use_case,is_static,has_animation,has_collision_mesh,quality_rating,notes
ELEPH_001,elephant,01_elephants/elephant_adult_01,mesh/elephant_adult_01.dae,preview/front.png,5.5,3.0,2.0,DAE,Z,meters,,,primary_target,true,false,false,,FILL: main target elephant at 8m
ELEPH_002,elephant,01_elephants/elephant_adult_02,mesh/elephant_adult_02.dae,preview/front.png,5.0,2.8,1.9,DAE,Z,meters,,,secondary_target,true,false,false,,FILL: background elephant at 22m
ELEPH_003,elephant,01_elephants/elephant_calf_01,mesh/elephant_calf_01.dae,preview/front.png,2.5,1.4,1.0,DAE,Z,meters,,,optional_distractor,true,false,false,,FILL: optional calf for realism
DRONE_001,drone,02_drone/drone_main,mesh/drone_main.dae,preview/iso.png,0.7,0.18,0.7,DAE,Z,meters,,,drone_vehicle,false,false,true,,FILL: main quadrotor airframe
DRONE_002,drone_part,02_drone/gimbal_camera,mesh/gimbal_camera.dae,preview/iso.png,0.08,0.06,0.08,DAE,Z,meters,,,camera_mount,false,false,false,,FILL: gimbal + camera unit
DRONE_003,drone_part,02_drone/payload_mount,mesh/payload_mount.dae,preview/iso.png,0.15,0.05,0.15,DAE,Z,meters,,,payload_rail,false,false,false,,FILL: dart gun mounting rail
DRONE_004,drone_part,02_drone/dart_module,mesh/dart_module.dae,preview/iso.png,0.12,0.04,0.04,DAE,Z,meters,,,actuator_payload,false,false,false,,FILL: dart launcher tube
ENV_001,terrain,03_environment/terrain,mesh/terrain.dae,,,250.0,250.0,DAE,Z,meters,,,ground_plane,true,false,true,,FILL: African savannah heightmap terrain
ENV_002,vegetation,03_environment/vegetation/tree_01,mesh/tree_01.dae,preview/tree_01.png,3.5,12.0,3.5,DAE,Z,meters,,,world_decoration,true,false,true,,FILL: acacia tree type A
ENV_003,vegetation,03_environment/vegetation/tree_02,mesh/tree_02.dae,preview/tree_02.png,3.0,10.0,3.0,DAE,Z,meters,,,world_decoration,true,false,true,,FILL: acacia tree type B
ENV_004,vegetation,03_environment/vegetation/bush_01,mesh/bush_01.dae,preview/bush_01.png,1.5,1.0,1.5,DAE,Z,meters,,,world_decoration,true,false,true,,FILL: low savannah bush
ENV_005,vegetation,03_environment/vegetation/grass_patch,mesh/grass_patch.dae,preview/grass.png,2.0,0.4,2.0,DAE,Z,meters,,,world_decoration,true,false,false,,FILL: grass tuft patch
ENV_006,rock,03_environment/rocks/rock_large_01,mesh/rock_large_01.dae,preview/rock.png,2.0,1.2,1.5,DAE,Z,meters,,,world_decoration,true,false,true,,FILL: large savannah boulder
ENV_007,rock,03_environment/rocks/rock_cluster_01,mesh/rock_cluster_01.dae,preview/cluster.png,3.0,0.8,2.0,DAE,Z,meters,,,world_decoration,true,false,true,,FILL: scattered rock group
ENV_008,rock,03_environment/rocks/log_01,mesh/log_01.dae,preview/log.png,1.8,0.3,0.3,DAE,Z,meters,,,world_decoration,true,false,true,,FILL: fallen log
ENV_009,prop,03_environment/props/fence_segment,mesh/fence_segment.dae,preview/fence.png,2.0,1.2,0.1,DAE,Z,meters,,,boundary_marker,true,false,true,,FILL: wooden fence panel
ENV_010,prop,03_environment/props/ranger_post,mesh/ranger_post.dae,preview/post.png,0.5,2.0,0.5,DAE,Z,meters,,,field_prop,true,false,true,,FILL: ranger monitoring stake
ENV_011,prop,03_environment/props/warning_sign,mesh/warning_sign.dae,preview/sign.png,0.8,1.2,0.05,DAE,Z,meters,,,field_prop,true,false,true,,FILL: wildlife warning sign
ENV_012,prop,03_environment/props/camp_tent,mesh/camp_tent.dae,preview/tent.png,3.5,2.5,4.0,DAE,Z,meters,,,base_camp_prop,true,false,true,,FILL: ranger camp tent
ENV_013,prop,03_environment/props/water_trough,mesh/water_trough.dae,preview/trough.png,2.5,0.6,0.8,DAE,Z,meters,,,field_prop,true,false,true,,FILL: animal water trough
ENV_014,structure,03_environment/structures/ranger_watchtower,mesh/watchtower.dae,preview/tower.png,3.0,8.0,3.0,DAE,Z,meters,,,background_structure,true,false,true,,FILL: ranger observation tower
ENV_015,structure,03_environment/structures/base_launchpad,mesh/launchpad.dae,preview/pad.png,2.0,0.2,2.0,DAE,Z,meters,,,drone_spawn,true,false,true,,FILL: marked drone launch pad
